Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z
19557289,1711929611,2024-04-01 00:00:11,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52,0.0,0.0,0.0029151209998878,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21932072260468688,-0.7720706989145539,-0.7729268195142854
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52,0.0,0.0,0.0042864316335998005,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21827484683007828,0.26845584948780987,0.2838503468984646
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52,0.0,0.0,0.0008173376097058,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.22092066704778404,-0.7720706989145539,-0.7729268195142854
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52,0.0,0.0,0.0026826963040339,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21949798904807202,0.26845584948780987,0.2838503468984646
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52,0.0,0.0,0.0034214121688283,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2189345827648318,-0.7720706989145539,-0.7729268195142854
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52,0.0,0.0,0.0036306498057184,36.0,3.0,-0.21885384984051884,-0.21885384984051884,-0.21877500070502717,2.3495089462925374,2.397404679723965
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52,0.0,0.0,0.005118616403265001,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21764015337026382,-0.7720706989145539,-0.7729268195142854
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52,0.0,0.0,0.000987120554866,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.22079117642405566,-0.7720706989145539,-0.7729268195142854
19557296,1711929695,2024-04-01 00:01:35,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52,0.5,0.5,0.5033919964126342,24.0,2.0,0.16310975711933712,0.16310975711933712,0.16238465244158748,1.3089823978901738,1.3406275133112147
19557298,1711929719,2024-04-01 00:01:59,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52,0.0,0.0,0.002688649593837,24.0,2.0,-0.21885384984051884,-0.21885384984051884,-0.21949344857311964,1.3089823978901738,1.3406275133112147
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52,0.0,0.0,0.0033030504400211,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21902485528351354,0.26845584948780987,0.2838503468984646
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,0.0,0.0,0.0033599440589657,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21898146346817923,-0.7720706989145539,-0.7729268195142854
19557301,1711929755,2024-04-01 00:02:35,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52,0.0,0.0,0.0006360118396713001,24.0,2.0,-0.21885384984051884,-0.21885384984051884,-0.22105896119174323,1.3089823978901738,1.3406275133112147
19557302,1711929767,2024-04-01 00:02:47,0.195780553916631,0,603.66673415044,0.0025968435,8.00706711358238,3505.52,0.195780553916631,0.195780553916631,0.198377398416631,12.0,1.0,-0.06929175674732899,-0.06929175674732899,-0.07024489997606619,0.26845584948780987,0.2838503468984646
