Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label
19557354,1711930391,2024-04-01 00:13:11,0.0,0,0.0,0.0027230120842101,8.39609337619559,3505.52,0.0,0.0,2723012.0842101,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0995690993264494,0.2684558494878098,0.2838503468984646,0.030341737516988536,0
19557355,1711930403,2024-04-01 00:13:23,0.0,0,0.0,0.0028414464068725,8.76127193628565,3505.52,0.0,0.0,2841446.4068725,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.122782032787767,0.2684558494878098,0.2838503468984646,0.031763973263870454,0
19557355,1711930403,2024-04-01 00:13:23,1.0,0,3083.38454496098,0.0101787038959182,31.3848582804084,3505.52,1.0,1.0,0.0101787038857394,0.0,0.0,0.545073364079193,0.545073364079193,-0.4341368118310303,-0.7720706989145539,-0.7729268195142854,0.28802103402564494,0
19557356,1711930415,2024-04-01 00:13:35,0.0,0,0.0,0.0019066327399398,5.87888192324728,3505.52,0.0,0.0,1906632.7399398,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0604399164025431,0.2684558494878098,0.2838503468984646,0.038563742117168995,0
19557357,1711930427,2024-04-01 00:13:47,0.0,0,0.0,0.0038342704761544,11.8225303273749,3505.52,0.0,0.0,3834270.4761544,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3173739259227453,0.2684558494878098,0.2838503468984646,0.038847597119569574,0
19557358,1711930439,2024-04-01 00:13:59,0.0,0,0.0,0.0007622255581412,2.35023450574701,3505.52,0.0,0.0,762225.5581412,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.284741851572715,0.2684558494878098,0.2838503468984646,0.04918974236207818,0
19557359,1711930451,2024-04-01 00:14:11,0.0,0,0.0,0.0027950106350453,8.61809259510049,3505.52,0.0,0.0,2795010.6350453,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1136806974871688,0.2684558494878098,0.2838503468984646,0.028574143377152746,0
19557360,1711930463,2024-04-01 00:14:23,0.0,0,0.0,0.0020722263470704,6.38947069221807,3505.52,0.0,0.0,2072226.3470704,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0279838403467924,0.2684558494878098,0.2838503468984646,0.03415614370520026,0
19557361,1711930475,2024-04-01 00:14:35,0.0,0,0.0,0.0031535761472489,9.72368795378511,3505.52,0.0,0.0,3153576.1472489,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1839589511994087,0.2684558494878098,0.2838503468984646,0.03457935231151113,0
19557362,1711930487,2024-04-01 00:14:47,0.0,0,0.0,0.0018507121966142,5.70645738421113,3505.52,0.0,0.0,1850712.1966142,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0714002513979827,0.2684558494878098,0.2838503468984646,0.0388119264228752,0
