Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label,StatScore,TempScore,FinalScore,FraudFlag,label
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,0.0,0.0,3359943.0589657,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2244065282413678,-0.7720706989145539,-0.7729268195142854,0.0007987945641081,0,0.0190572293209076,0.0,0.0079424095540063,0,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52,0.0,0.0,3303049.4400211,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.2132554720167365,0.2684558494878098,0.2838503468984646,0.034433523721711,0,0.0055790759822547,0.0,0.0160050398815862,0,0
19557301,1711929755,2024-04-01 00:02:35,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52,0.0,0.0,636010.8396713,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.3094797298821323,1.3089823978901738,1.3406275133112149,0.1724753516615866,0,0.0353427054427702,0.0,0.0831272228417427,0,0
19557302,1711929767,2024-04-01 00:02:47,0.195780553916631,0,603.66673415044,0.0025968435,8.00706711358238,3505.52,0.195780553916631,0.195780553916631,0.013264052199187,12.0,1.0,-0.0692917567473289,-0.0692917567473289,-0.4341368112263071,0.2684558494878098,0.2838503468984646,0.1285787666705326,0,0.0074464330169778,0.0,0.0544100798750041,0,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0004597515275135,1.41759075445734,3505.52,0.0,0.0,459751.5275135,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3440262666721432,-0.7720706989145539,-0.7729268195142854,0.0169645006423584,0,0.0221892416768142,0.0,0.015661496927669,0,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0019989643952269,6.16357592217013,3505.52,0.0,0.0,1998964.3952269,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0423430630379804,-0.7720706989145539,-0.7729268195142854,0.0080665945712426,0,0.0142902483020838,0.0,0.0089427371493305,0,0
19557302,1711929767,2024-04-01 00:02:47,1.0,0,3083.38454496098,0.0520350281587617,160.444001621335,3505.52,1.0,1.0,0.0520350281067266,0.0,0.0,0.545073364079193,0.545073364079193,-0.4341368036272593,-0.7720706989145539,-0.7729268195142854,0.2880210340256449,0,0.0330900418422382,0.0,0.1284444303471532,0,0
19557304,1711929791,2024-04-01 00:03:11,0.0,0,0.0,0.0022809181564881,7.0329477920363,3505.52,0.0,0.0,2280918.1564881,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0129194128405794,1.3089823978901738,1.3406275133112149,0.1434654354703025,0,0.027577844982193,0.0,0.0684173121809982,0,0
19557309,1711929851,2024-04-01 00:04:11,0.0,0,0.0,0.0020451833461076,6.3060867209998,3505.52,0.0,0.0,2045183.3461076,60.0,5.0,-0.2188538498405188,-0.2188538498405188,-0.0332842242881371,4.430562043097265,4.510959012549465,0.6819790490225824,1,0.1098436063766585,0.0,0.3167290621596964,0,0
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.002046161396673,6.30910242699747,3505.52,0.0,0.0,2046161.396673,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.0330925279775908,1.3089823978901738,1.3406275133112149,0.1448334171147927,0,0.0281060391305426,0.0526315788501784,0.0797020982681698,0,0
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.0021939425364476,6.76476850941514,3505.52,0.0,0.0,2193942.5364475995,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0041276663791166,-0.7720706989145539,-0.7729268195142854,0.0063432679477474,0,0.0132896517777008,0.0526315788501784,0.0183794836602149,0,0
19557312,1711929887,2024-04-01 00:04:47,0.254,0,783.179674420089,0.0021223557024766,6.54403877192621,3505.52,0.254,0.254,0.008355731079216,12.0,1.0,-0.024816337504912,-0.024816337504912,-0.43413681218833,0.2684558494878098,0.2838503468984646,0.1370705547595151,0,0.0062819298888513,0.0844958636586467,0.0742401665910759,0,0
19557314,1711929911,2024-04-01 00:05:11,0.0,0,0.0,0.0038617384737261,11.9072247265684,3505.52,0.0,0.0,3861738.4737261,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.3227576085040611,1.3089823978901738,1.3406275133112149,0.1758872625188615,0,0.0356903611093823,0.0526315789310423,0.0951573652375059,0,0
19557315,1711929923,2024-04-01 00:05:23,0.0,0,0.0,0.0058734048974202,18.1099658870037,3505.52,0.0,0.0,5873404.8974202,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.7170409360888177,0.2684558494878098,0.2838503468984646,0.1383393297718924,0,0.0187697276163326,0.0526315789310423,0.0733699387414985,0,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004377196550477,1.3496580194,3505.52,0.0,0.0,437719.6550477,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483444776272113,-0.7720706989145539,-0.7729268195142854,0.0164542767918127,0,0.0223023057099253,0.0526315789310423,0.0260289487869037,0,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004374980809374,1.3489748212125,3505.52,0.0,0.0,437498.0809374,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483879057902938,-0.7720706989145539,-0.7729268195142854,0.0164542767918127,0,0.0223034427926941,0.0526315789310423,0.0260294036200111,0,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.000597716259061,1.84298907546064,3505.52,0.0,0.0,597716.259061,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3169854050247164,-0.7720706989145539,-0.7729268195142854,0.0101811388319604,0,0.0214812288195288,0.0526315789310423,0.0231912628468041,0,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0020585416992861,6.34727566073657,3505.52,0.0,0.0,2058541.6992861,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.0306660089218939,3.3900354946949016,3.454181846136715,0.5581541256010528,0,0.0825308707697901,0.0526315789310423,0.2668003143345456,0,0
19557320,1711929983,2024-04-01 00:06:23,0.0,0,0.0,0.0020363275079134,6.27878076637936,3505.52,0.0,0.0,2036327.5079134,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0350199540844069,-0.7720706989145539,-0.7729268195142854,0.008814401266011,0,0.0140985068050104,0.0526315787448514,0.0196914789773788,0,0
19557320,1711929983,2024-04-01 00:06:23,3.0,0,9250.15363488294,0.0008341975627975,2.57215187257412,3505.52,3.0,3.0,0.0002780658541731,12.0,1.0,2.072927791918617,2.072927791918617,-0.4341368137715392,0.2684558494878098,0.2838503468984646,0.5846534881861493,0,0.0599077818645132,0.6570426880240218,0.3892330456250693,1,1
19557321,1711929995,2024-04-01 00:06:35,2.855,0,8803.0628758636,0.0022431195287532,6.91640008745783,3505.52,2.855,2.855,0.0007856810956103,0.0,0.0,1.9621583459002585,1.9621583459002585,-0.4341368136720475,-0.7720706989145539,-0.7729268195142854,0.58678018786159,0,0.0701936817775664,0.3587788877473346,0.3345453254051295,1,1
19557321,1711929995,2024-04-01 00:06:35,0.0,0,0.0,0.0027026711063096,8.33337431930765,3505.52,0.0,0.0,2702671.1063096,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0955823009395629,0.2684558494878098,0.2838503468984646,0.0303568383691275,0,0.0024980307416675,0.0526315793268123,0.0236682635096805,0,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,437655.6980829,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483570130876666,-0.7720706989145539,-0.7729268195142854,0.0164542767918127,0,0.0223026339268028,0.0526315793268123,0.0260290801528087,0,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,437655.6980829,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.3483570130876666,0.2684558494878098,0.2838503468984646,0.052600154928634,0,0.0091164495084562,0.0526315793228438,0.0352129576394048,0,0
19557324,1711930031,2024-04-01 00:07:11,0.0,0,0.0,0.0024568858221531,7.5755237727608,3505.52,0.0,0.0,2456885.8221531,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0474087873951891,1.3089823978901738,1.3406275133112149,0.1417066066739669,0,0.0284808827974365,0.0526315793228438,0.0786013116531301,0,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0005058503408319,1.55973112298447,3505.52,0.0,0.0,505850.3408319,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.3349909746879433,1.3089823978901738,1.3406275133112149,0.1763138184106959,0,0.0360106682304718,0.0526315793228438,0.0954561105210358,0,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0020846377033337,6.4277396763021,3505.52,0.0,0.0,2084637.7033337,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0255512348264658,-0.7720706989145539,-0.7729268195142854,0.0077202103878545,0,0.013850586636487,0.0526315792986058,0.0191546346694577,0,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0031472267858047,9.70411043083748,3505.52,0.0,0.0,3147226.7858047,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1827144867450781,0.2684558494878098,0.2838503468984646,0.0345793523115111,0,0.0047794191322462,0.0526315792986058,0.026269824437224,0,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0061040244580438,18.8210546759963,3505.52,0.0,0.0,6104024.4580438,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.762241992634679,-0.7720706989145539,-0.7729268195142854,0.1548667389780515,0,0.0331394146025569,0.0526315792986058,0.0857287772919645,0,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0029572355101244,9.11829426772763,3505.52,0.0,0.0,2957235.5101244,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1454765075726959,0.2684558494878098,0.2838503468984646,0.0342636226263502,0,0.003804414401364,0.0526315792986058,0.0257535306708068,0,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0019282478570653,5.9455296413294,3505.52,0.0,0.0,1928247.8570653,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0562033888122848,-0.7720706989145539,-0.7729268195142854,0.0102454041342482,0,0.0146531542250652,0.0526315792986058,0.0204857392034465,0,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0018125273135813,5.58871870601641,3505.52,0.0,0.0,1812527.3135813,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0788844259948819,-0.7720706989145539,-0.7729268195142854,0.0149659762048473,0,0.0152470134796712,0.0526315792911307,0.0226115117320335,0,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0038920408468824,12.000658595634,3505.52,0.0,0.0,3892040.8468824,36.0,3.0,-0.2188538498405188,-0.2188538498405188,0.3286968240623945,2.3495089462925374,2.397404679723965,0.3586205934767147,0,0.0630900507070556,0.0526315792911307,0.1792105735317343,0,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.002762461,8.51772955345745,3505.52,0.0,0.0,2762460.9999999995,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1073010222755285,-0.7720706989145539,-0.7729268195142854,0.0020485247539946,0,0.0159910472974286,0.0526315792911307,0.0177421446787954,0,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0036959716550492,11.3961018797926,3505.52,0.0,0.0,3695971.6550492,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2902675832686417,-0.7720706989145539,-0.7729268195142854,0.0046100133640735,0,0.020781674139334,0.0526315792911307,0.0206829908595891,0,0
19557332,1711930127,2024-04-01 00:08:47,0.0,0,0.0,0.0020001522623159,6.16723857319375,3505.52,0.0,0.0,2000152.2623159,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0421102430321072,0.2684558494878098,0.2838503468984646,0.0341113723186696,0,0.0010979679405035,0.0526315792911307,0.0246100519618954,0,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0037934227728565,11.6965811503288,3505.52,0.0,0.0,3793422.7728565,48.0,4.0,-0.2188538498405188,-0.2188538498405188,0.3093678429107738,3.3900354946949016,3.454181846136715,0.5721918533102112,0,0.0898281412630887,0.0526315792911307,0.2753343136875461,0,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0028915236498662,8.91567933338671,3505.52,0.0,0.0,2891523.6498662,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1325970904788768,-0.7720706989145539,-0.7729268195142854,0.0004461383340799,0,0.0166533761004179,0.0526315792911307,0.0173661216320252,0,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.004279688,13.195923836455,3505.52,0.0,0.0,4279688.0,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4046750318108214,0.2684558494878098,0.2838503468984646,0.0422534835287093,0,0.0105910283097062,0.0526315792911307,0.0316641205935923,0,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.0032307588742179,9.96167198125927,3505.52,0.0,0.0,3230758.8742179,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1990866394000796,-0.7720706989145539,-0.7729268195142854,0.0036190575216325,0,0.0183942768204138,0.0526315791022165,0.0193316495572618,0,0
19557338,1711930199,2024-04-01 00:09:59,0.7265547869396715,0,2240.2478011172,0.0048416468719914,14.9286591372572,3505.52,0.7265547869396715,0.7265547869396715,0.0066638427718866,12.0,1.0,0.3361811243063342,0.3361811243063342,-0.4341368125199374,0.2684558494878098,0.2838503468984646,0.240663695937721,0,0.0144344168720863,0.999999982420196,0.3020392416079621,0,0
19557339,1711930211,2024-04-01 00:10:11,0.0,0,0.0,0.0052574309402009,16.2106813072153,3505.52,0.0,0.0,5257430.9402009,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.5963110483214473,0.2684558494878098,0.2838503468984646,0.0998168806552015,0,0.0156086481391906,0.0526315780221155,0.0566965271221799,0,0
19557340,1711930223,2024-04-01 00:10:23,0.1,0,308.338454496098,0.0035780526305385,11.0325121820595,3505.52,0.1,0.1,0.0357805259475797,12.0,1.0,-0.1424611284485476,-0.1424611284485476,-0.4341368068131152,0.2684558494878098,0.2838503468984646,0.1238468777947057,0,0.0093622319095877,0.0747201207559564,0.0682276680329086,0,0
19557341,1711930235,2024-04-01 00:10:35,1.0,0,3083.38454496098,0.0089578990450144,27.6206474707181,3505.52,1.0,1.0,0.0089578990360565,12.0,1.0,0.545073364079193,0.545073364079193,-0.4341368120703061,0.2684558494878098,0.2838503468984646,0.2651048525084746,0,0.0199038576449564,0.5236618810218273,0.2187358602657379,0,0
19557342,1711930247,2024-04-01 00:10:47,0.0,0,0.0,0.0030920003339872,9.5338260428304,3505.52,0.0,0.0,3092000.3339872,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1718901925495638,0.2684558494878098,0.2838503468984646,0.0365327084809662,0,0.0044960058460356,0.0526315788946206,0.0269378015097248,0,0
19557343,1711930259,2024-04-01 00:10:59,0.5,0,1541.69227248049,0.0035101371841004,10.8231027441481,3505.52,0.5,0.5,0.0070202743541602,12.0,1.0,0.1631097571193371,0.1631097571193371,-0.4341368124500774,0.2684558494878098,0.2838503468984646,0.1726362165539128,0,0.0099028766111467,0.1735895240216289,0.1077335420703496,0,0
19557344,1711930271,2024-04-01 00:11:11,0.0,0,0.0,0.0031820604024403,9.81151586601688,3505.52,0.0,0.0,3182060.4024403,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1895418186113998,0.2684558494878098,0.2838503468984646,0.0353320533766526,0,0.0049581796616012,0.0526315790184719,0.0266424090189959,0,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.0019365597407085,5.97115837489442,3505.52,0.0,0.0,1936559.7407085,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0545742732180005,0.2684558494878098,0.2838503468984646,0.0368041416556132,0,0.00142431455402,0.0526315790184719,0.0258176982875476,0,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.00057081324503,1.76003673778458,3505.52,0.0,0.0,570813.2450299999,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3222583517564729,-0.7720706989145539,-0.7729268195142854,0.0099978253436915,0,0.0216192907692752,0.0526315790184719,0.023173162248881,0,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.003066112,9.4540023539194,3505.52,0.0,0.0,3066112.0,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1668161214461874,-0.7720706989145539,-0.7729268195142854,0.0013290381706733,0,0.0175493354897522,0.0526315790184719,0.0180776652678646,0,0
19557349,1711930331,2024-04-01 00:12:11,1.03,0,3175.88608130981,0.0022020526491632,6.7897751056203,3505.52,1.03,1.03,0.0021379151912866,0.0,0.0,0.5679911804967844,0.5679911804967844,-0.4341368134070117,-0.7720706989145539,-0.7729268195142854,0.3010463350216696,0,0.0336901009609273,0.2703813312409442,0.1879708406412276,0,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0005856328501232,1.80573127909145,3505.52,0.0,0.0,585632.8501232,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.3193537334058275,3.3900354946949016,3.454181846136715,0.571318268809885,0,0.0900896025639203,0.0526315791573093,0.275089464380984,0,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0020934177593644,6.45481196537134,3505.52,0.0,0.0,2093417.7593644,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0238303582102483,-0.7720706989145539,-0.7729268195142854,0.0077202103878545,0,0.0138055287982432,0.0526315791573093,0.0191366115059009,0,0
19557350,1711930343,2024-04-01 00:12:23,0.0,0,0.0,0.0081342058679508,25.0808846587706,3505.52,0.0,0.0,8134205.8679508,0.0,0.0,-0.2188538498405188,-0.2188538498405188,1.1601542272232133,-0.7720706989145539,-0.7729268195142854,0.2546460701997599,0,0.043557979729406,0.0526315791573093,0.1298079358031282,0,0
19557350,1711930343,2024-04-01 00:12:23,0.1958088654704899,0,603.754029558052,0.002138577,6.59405527000902,3505.52,0.1958088654704899,0.1958088654704899,0.0109217577250124,12.0,1.0,-0.0692701287808678,-0.0692701287808678,-0.434136811685393,0.2684558494878098,0.2838503468984646,0.1285787666705326,0,0.0074458667423711,0.0053902384909788,0.0554879010633572,0,0
19557351,1711930355,2024-04-01 00:12:35,0.0,0,0.0,0.0020783969083591,6.40849690552934,3505.52,0.0,0.0,2078396.9083591,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0267744204303896,0.2684558494878098,0.2838503468984646,0.0341561437052002,0,0.0006964289762265,0.0526315791745954,0.0244673449074898,0,0
19557352,1711930367,2024-04-01 00:12:47,0.0,0,0.0,0.0015123402464601,4.66312654265768,3505.52,0.0,0.0,1512340.2464601,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.1377205999889324,0.2684558494878098,0.2838503468984646,0.0444688147596652,0,0.0036013409061174,0.0526315791745954,0.0297543781012321,0,0
19557353,1711930379,2024-04-01 00:12:59,0.0,0,0.0,0.0038140229565577,11.7600994383765,3505.52,0.0,0.0,3814022.9565577,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3134054452104886,0.2684558494878098,0.2838503468984646,0.0379464694388153,0,0.0082013100516601,0.0526315791745954,0.0289854276311092,0,0
19557354,1711930391,2024-04-01 00:13:11,0.0,0,0.0,0.0027230120842101,8.39609337619559,3505.52,0.0,0.0,2723012.0842101,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0995690993264494,0.2684558494878098,0.2838503468984646,0.0303417375169885,0,0.0026024173752787,0.0526315791745954,0.023703977791826,0,0
19557355,1711930403,2024-04-01 00:13:23,1.0,0,3083.38454496098,0.0101787038959182,31.3848582804084,3505.52,1.0,1.0,0.0101787038857394,0.0,0.0,0.545073364079193,0.545073364079193,-0.4341368118310303,-0.7720706989145539,-0.7729268195142854,0.2880210340256449,0,0.0330900420570381,0.1785959028259074,0.1641636109982547,0,0
19557355,1711930403,2024-04-01 00:13:23,0.0,0,0.0,0.0028414464068725,8.76127193628565,3505.52,0.0,0.0,2841446.4068725,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.122782032787767,0.2684558494878098,0.2838503468984646,0.0317639732638704,0,0.0032102033090338,0.0526315791957745,0.0245159864683165,0,0
19557356,1711930415,2024-04-01 00:13:35,0.0,0,0.0,0.0019066327399398,5.87888192324728,3505.52,0.0,0.0,1906632.7399398,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0604399164025431,0.2684558494878098,0.2838503468984646,0.0385637421171689,0,0.0015778951183175,0.0526315791957745,0.0265829707333494,0,0
19557357,1711930427,2024-04-01 00:13:47,0.0,0,0.0,0.0038342704761544,11.8225303273749,3505.52,0.0,0.0,3834270.4761544,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3173739259227453,0.2684558494878098,0.2838503468984646,0.0388475971195695,0,0.0083052170722573,0.0526315791883898,0.0293874415144087,0,0
19557358,1711930439,2024-04-01 00:13:59,0.0,0,0.0,0.0007622255581412,2.35023450574701,3505.52,0.0,0.0,762225.5581412,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.284741851572715,0.2684558494878098,0.2838503468984646,0.0491897423620781,0,0.0074508090840447,0.0526315790847419,0.0331825363953975,0,0
19557359,1711930451,2024-04-01 00:14:11,0.0,0,0.0,0.0027950106350453,8.61809259510049,3505.52,0.0,0.0,2795010.6350453,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1136806974871688,0.2684558494878098,0.2838503468984646,0.0285741433771527,0,0.0029719023815224,0.0526315790847419,0.0231447341204184,0,0
19557360,1711930463,2024-04-01 00:14:23,0.0,0,0.0,0.0020722263470704,6.38947069221807,3505.52,0.0,0.0,2072226.3470704,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0279838403467924,0.2684558494878098,0.2838503468984646,0.0341561437052002,0,0.0007280953063101,0.0526315789979932,0.0244800114042027,0,0
19557361,1711930475,2024-04-01 00:14:35,0.0,0,0.0,0.0031535761472489,9.72368795378511,3505.52,0.0,0.0,3153576.1472489,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1839589511994087,0.2684558494878098,0.2838503468984646,0.0345793523115111,0,0.0048120030360281,0.0526315789979932,0.0262828579386143,0,0
19557362,1711930487,2024-04-01 00:14:47,0.0,0,0.0,0.0018507121966142,5.70645738421113,3505.52,0.0,0.0,1850712.1966142,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0714002513979827,0.2684558494878098,0.2838503468984646,0.0388119264228752,0,0.0018648703707376,0.0526315789979932,0.0267970345170437,0,0
19557363,1711930499,2024-04-01 00:14:59,0.677,0,2087.45133693858,0.0027029824516369,8.3343343166781,3505.52,0.677,0.677,0.0039925885489576,12.0,1.0,0.2983248739831261,0.2983248739831261,-0.4341368130434988,0.2684558494878098,0.2838503468984646,0.2360002620564568,0,0.013443223916173,0.1928656665433736,0.1383505276977266,0,0
19557363,1711930499,2024-04-01 00:14:59,0.0,0,0.0,0.0022868505485816,7.05123963813228,3505.52,0.0,0.0,2286850.5485816,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.0140821519844118,-0.7720706989145539,-0.7729268195142854,0.0073081150917579,0,0.013550290802008,0.0526315791082889,0.0188696781791641,0,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.0058224873102052,17.9529673855184,3505.52,0.0,0.0,5822487.3102052,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.7070611723052919,-0.7720706989145539,-0.7729268195142854,0.1347202839771195,0,0.0316946111499836,0.0526315789088538,0.077092273832612,0,0
