Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label,StatScore,TempScore,FinalScore,FraudFlag
19557289,1711929611,2024-04-01 00:00:11,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52,0.0,0.0,2915119.9998878,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1372219364751064,-0.7720706989145539,-0.7729268195142854,0.0009735522045551,0,0.016774468781227795,0.0,0.007099208394313158,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52,0.0,0.0,4286430.6335998,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4059965769641833,0.2684558494878098,0.2838503468984646,0.0422534835287093,0,0.010625630423065795,0.0,0.02115164558071004,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52,0.0,0.0,817336.6097057998,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2739401756379529,-0.7720706989145539,-0.7729268195142854,0.0197554038121734,0,0.020354172431755586,0.0,0.016043830497571594,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52,0.0,0.0,2682695.3040339,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0916670763776424,0.2684558494878098,0.2838503468984646,0.0291009468191644,0,0.002395518130747772,0.0,0.01259858597996487,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52,0.0,0.0,3421411.1688283,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2364541772012118,-0.7720706989145539,-0.7729268195142854,0.0012097638885061,0,0.019372673794343733,0.0,0.008232975073139933,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52,0.0,0.0,987119.554866,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2406629961829343,-0.7720706989145539,-0.7729268195142854,0.0246147632572817,0,0.019482873609419884,0.0,0.017639054746680635,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52,0.0,0.0,3630648.8057184,36.0,3.0,-0.2188538498405188,-0.2188538498405188,0.2774644116800991,2.3495089462925374,2.397404679723965,0.3508184932585846,0,0.06174862870840188,0.0,0.1650268487867946,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52,0.0,0.0,5118615.403265,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.5691034302099697,-0.7720706989145539,-0.7729268195142854,0.0917750060257873,0,0.02808245350356334,0.0,0.04794298381174025,0
19557296,1711929695,2024-04-01 00:01:35,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52,0.5,0.5,0.0067839908117004,24.0,2.0,0.1631097571193371,0.1631097571193371,-0.4341368124963886,1.3089823978901738,1.3406275133112149,0.3376288067478448,0,0.03714705929489375,0.0,0.1499103464170954,0
19557298,1711929719,2024-04-01 00:01:59,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52,0.0,0.0,2688648.593837,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0928339114383639,1.3089823978901738,1.3406275133112149,0.1425673113689758,0,0.029670252140976346,0.0,0.06889502540398086,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,0.0,0.0,3359943.0589657,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2244065282413678,-0.7720706989145539,-0.7729268195142854,0.0007987945641081,0,0.019057229320907663,0.0,0.007942409554006305,0
